CORP_NUM,DBA NAME,FIRM_NUM,CORP_NAME_TYP_CD,CORP_NME,TRACKINGNUMBER,addressString,PHYSICALCITY,FACTYPE,LONGITUDE,LATITUDE
151283,Destiny Realty,FM0482867,CO,UNIVERSO REALTORS,1Z-55A-3F8,4359 Yoho Valley Road,Spillimacheen,Restaurant,-116.344166,50.921767
100413,Music Plus,FM0315317,NB,GAS DEPOT,1Z-059-874,2890 Burdett Avenue,Victoria,Restaurant,-123.392253,48.415871
103280,Kinney Shoes,FM0194305,CO,SERVICE MERCHANDISE,1Z-V89-665,1323 Cordova Street,Vancouver,Restaurant,-123.160493,49.203986
168590,Western Auto,FM0248597,CO,LIONEL PLAYWORLD,1Z-434-516,727 Glover Road,Langley,Restaurant,-122.619842,49.062115
187713,The Original House of Pies,FM0384008,CO,SUCCESS IS YOURS,1Z-108-080,2814 Scotts Lane,Youbou,Restaurant,-124.127457,48.976957
125097,J. Brannam,FM0302798,CO,STRATACARD,1Z-E51-890,907 Nootka Street,Vancouver,Restaurant,-123.209605,49.271195
116394,Pro Yard Services,FM0299447,CO,J. BRANNAM,1Z-Y92-482,4528 Nootka Street,Vancouver,Restaurant,-123.104597,49.232858
161346,Enviro Architectural Designs,FM0258567,CO,HAPPY FAMILY,1Z-F05-9F2,2183 Kinchant St,Prince George,Restaurant,-122.760912,53.867328
155513,Strong Life,FM0496147,CO,RELIABLE GUIDANCE,1Z-824-315,4297 Queens Bay,Nakusp,Restaurant,-117.782777,50.199174
127542,Childrens Bargain Town,FM0478128,NB,WITMARK,1Z-8E1-916,2644 102nd Avenue,Cranbrook,Restaurant,-115.725538,49.550196
116243,Kids Mart,FM0481751,CO,WAREHOUSE CLUB INC.,1Z-W73-115,3273 Kinchant St,Sardis,Restaurant,-121.899922,49.063017
175168,Waccamaw Pottery,FM0292883,NB,INDIEWEALTH,1Z-A60-004,735 Blanshard,Victoria,Restaurant,-123.286137,48.396773
127898,Weathervane,FM0286659,NB,ASIAN JUNCTION,1Z-5E1-92A,4216 Robson St,Vancouver,Restaurant,-123.228229,49.26929
153706,Price's Electronics,FM0354025,CO,DESTINY REALTY,1Z-932-W35,3162 Findlay Creek Road,Elko,Restaurant,-115.158976,49.209586
159129,Alert Alarm Company,FM0214231,CO,CASUAL CORNER,1Z-433-841,3832 Roger Street,Victoria,Restaurant,-123.325308,48.342842
164953,Strategy Consulting,FM0291434,NB,PARTS AMERICA,1Z-835-307,3239 Cardero St,Vancouver,Restaurant,-123.224887,49.306668
178641,Accord Investments,FM0478581,CO,BEST BIZ SURVIS,1Z-276-46E,2191 Blind Bay Road,Clearwater,Restaurant,-120.023771,51.578942
136878,Suadela Investment,FM0214985,CO,UNIVERSAL DESIGN PARTNERS,1Z-899-99F,2919 Old Spallumcheen Rd,Atlin,Restaurant,-133.663743,59.588904
111196,Hughes Markets,FM0319578,CO,MANCHARM,1Z-073-756,1547 Roger Street,Port Alberni,Restaurant,-124.786536,49.268937
180821,Child World,FM0132437,CO,MONK HOUSE SALES,1Z-474-497,4228 Keith Road,North Vancouver,Restaurant,-123.07296,49.303267
186949,KB Toys,FM0318471,NB,BRENDLE'S,1Z-311-943,3420 Burdett Avenue,Victoria,Restaurant,-123.347781,48.350787
156285,Integra Design,FM0366727,NB,ROSSI AUTO PARTS,1Z-E09-884,4536 Brew Creek Rd,Port Hardy,Restaurant,-127.462956,50.810496
162358,Kenny Rogers Roasters,FM0356803,CO,ORANGES RECORDS & TAPES,1Z-588-430,127 Coldstream Avenue,Vernon,Restaurant,-119.174439,50.206353
181905,Integra Design,FM0321596,CO,STRONGBOD,1Z-426-942,896 Roger Street,Nanaimo,Restaurant,-123.883794,49.176647
118406,Thorofare,FM0317149,NB,THE GOOSE AND DUCK,1Z-80Y-31E,2657 Wellington Ave,Chilliwack,Restaurant,-121.886429,49.12918
122333,The Original House of Pies,FM0392520,CO,MERVYN'S,1Z-5E2-301,830 Hardy Street,Kelowna,Restaurant,-119.495236,49.905275
151597,Modern Architecture Design,FM0255482,CO,FOOT QUARTERS,1Z-558-182,4580 Hastings Street,Vancouver,Restaurant,-123.081604,49.341737
157909,Mr. Clark's Appliances,FM0486591,CO,CARDINAL STORES,1Z-894-663,3967 Queens Bay,Fauquier,Restaurant,-118.059034,49.839069
179111,World of Fun,FM0181450,CO,COCONUT'S,1Z-804-666,4357 Hastings Street,Vancouver,Restaurant,-123.192795,49.154583
144173,Franklin Simon,FM0303265,CO,SPECIALTY RESTAURANT GROUP,1Z-992-109,1967 Findlay Creek Road,Fernie,Restaurant,-115.056448,49.409198
137938,Parade of Shoes,FM0108700,CO,FAMILY TOY,1Z-980-6Y4,3815 Burdett Avenue,Victoria,Restaurant,-123.356206,48.387678
174450,Balanced Fortune,FM0192390,NB,NATIONAL SHIRT SHOP,1Z-8Y6-909,3246 Alaska Hwy,Fort Nelson,Restaurant,-122.543157,58.758881
176740,Omni Source,FM0211542,NB,LINDSLEY'S LUMBER,1Z-493-994,4283 Burdett Avenue,Victoria,Restaurant,-123.309535,48.458282
167799,E.J. Korvette,FM0340630,NB,RECORD BAR,1Z-169-626,2549 James Street,Burnaby,Restaurant,-122.956953,49.169787
136518,Sam Goody,FM0299615,NB,CIRCUIT DESIGN,1Z-133-316,1234 Tolmie St,Vancouver,Restaurant,-123.117166,49.214899
115778,Square Circle,FM0189527,CO,THE WIZ,1Z-W68-766,3056 Quayside Dr,New Westminster,Restaurant,-122.840336,49.173923
123897,Builderama,FM0444345,CO,GERI'S HAMBURGERS,1Z-901-946,608 Jade St,Richmond,Restaurant,-122.891931,49.162144
168171,American Wholesale Club,FM0173615,CO,NATIONAL RECORD MART,1Z-592-059,1696 Alaska Hwy,Fort Nelson,Restaurant,-122.559925,58.743551
121745,Plan Smart,FM0238979,CO,AUTO PALACE,1Z-Y35-057,1140 Sixth Street,New Westminister,Restaurant,-122.970467,49.278845
186673,Tradewell,FM0235477,CO,BUILDERS SQUARE,1Z-277-631,1979 King George Hwy,Surrey,Restaurant,-122.892864,49.110476
158958,Magik Lamp,FM0330018,CO,GREAT AMERICAN MUSIC,1Z-7A6-9E2,510 Burdett Avenue,Victoria,Restaurant,-123.367263,48.494929
100050,Rossi Auto Parts,FM0349683,CO,WACCAMAW'S HOMEPLACE,1Z-727-92Y,4923 Stum Lake Road,Tatla Lake,Restaurant,-124.656152,51.863886
115016,Future Bright,FM0331232,CO,KIDS MART,1Z-553-54A,2277 James Street,Aldergrove,Restaurant,-122.504447,49.067867
192974,Ardan's,FM0105752,CO,RED FOX TAVERN,1Z-544-0F6,1369 Tolmie St,Vancouver,Restaurant,-123.225787,49.32742
157290,Robinson Furniture,FM0356244,CO,RED OWL,1Z-617-74E,1166 Blanshard,Victoria,Restaurant,-123.433584,48.479866
172401,Sunflower Market,FM0173204,CO,THE WALL,1Z-078-559,4526 Glover Road,Coquitlam,Restaurant,-122.777601,49.354691
194448,Asian Plan,FM0465408,NB,CHASE PITKIN,1Z-86F-3E8,936 Coldstream Avenue,Vernon,Restaurant,-119.192809,50.319929
122257,Galaxy Man,FM0381828,CO,MEGASOLUTIONS,1Z-221-E47,3694 Lake City Way,Burnaby,Restaurant,-122.925072,49.170023
192919,The Lawn Guru,FM0204225,NB,INDIEWEALTH,1Z-340-980,3644 Roger Street,Nanaimo,Restaurant,-123.839127,49.159023
117201,Egghead Software,FM0295206,CO,THE FLYING BEAR,1Z-657-2Y2,4305 Essendene Avenue,Abbotsford,Restaurant,-122.34475,49.149307
